"","clust","xphsdf","billscc","xphdr1","xphdr2","xphdr3","xphdr4","xphdr5","xphdr6","xphdr7","xphdr8","xphdr9","xphdr10","xphdr11","xphdr12","xphdr13","xphdr14","xphdd1","xphdd2","xphdd3","xphdd4","xphdd5","xphdd6","xphdd7","xphdd8","xphdd9","hscntcr1","hscntcr2","hscntcr","hscrchg","saving","sumx"
"165",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"170",1,"no","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","harder","no - not particularly",1
"173",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"174",1,"yes","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","harder","no - definitely not",1
"179",2,"yes","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","the same","no - not particularly",1
"181",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"185",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"186",2,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","no - not particularly",1
"187",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","harder","no - definitely not",0
"188",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"190",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","harder","yes - significantly increase",0
"191",1,"no","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","the same","no - not particularly",1
"197",1,"yes","keeping up, constant struggle","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","harder","no - not particularly",1
"200",2,"no","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","no - not particularly",1
"202",1,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","harder","no - definitely not",1
"208",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","easier","yes - slightly increase",0
"210",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"211",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","harder","no - definitely not",0
"212",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - definitely not",0
"216",1,"yes","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","the same","yes - slightly increase",1
"219",1,"no","keeping up, struggle from time to time","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","harder","no - definitely not",1
"224",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","easier","no - not particularly",0
"229",1,"yes","have financial problems, fallen behind with many","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","harder","no - definitely not",1
"237",2,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","no - not particularly",1
"238",2,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","the same","yes - slightly increase",3
"243",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","easier","yes - slightly increase",0
"247",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","easier","no - not particularly",0
"248",2,"yes","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","harder","no - not particularly",1
"250",1,"yes","keeping up, constant struggle","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","harder","no - definitely not",1
"251",1,"yes","keeping up, struggle from time to time","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","the same","no - not particularly",2
"255",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - significantly increase",0
"260",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","harder","no - not particularly",0
"261",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"263",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"264",1,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","the same","no - not particularly",1
"268",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"270",1,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","the same","yes - slightly increase",1
"272",1,"no","keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","yes","harder","no - not particularly",1
"277",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"278",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"281",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","the same","yes - slightly increase",0
"282",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - definitely not",0
"285",2,"no","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","no - not particularly",1
"289",2,"no","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","no - not particularly",1
"292",2,"no","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","the same","yes - significantly increase",1
"294",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"305",2,"yes","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","the same","no - definitely not",1
"310",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","harder","no - definitely not",0
"319",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","easier","no - definitely not",0
"322",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - definitely not",0
"325",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - definitely not",0
"331",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","harder","no - not particularly",0
"333",1,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","harder","yes - significantly increase",0
"335",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - significantly increase",0
"336",1,"yes","keeping up, constant struggle","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","yes","harder","no - definitely not",1
"337",1,"yes","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","the same","no - not particularly",0
"338",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"347",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - slightly increase",0
"350",2,"no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",0
"351",1,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","harder","no - definitely not",1
"352",1,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","harder","no - not particularly",1
"357",1,"yes","keeping up, constant struggle","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","harder","no - definitely not",1
"360",1,"no","keeping up, constant struggle","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","harder","no - definitely not",1
"361",2,"no","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","the same","no - not particularly",1
